instancia;execucao;quantidade_regioes;espaco_busca_total;irrigadores_antes_remocao;irrigadores_finais;regioes_escolhidas;solucao_valida;iteracoes_heuristica;candidatos_avaliados;verificacoes_ganho;verificacoes_pos_processamento;remocoes_realizadas;tempo_guloso;tempo_pos_processamento;tempo_total
instancia_5.txt;1;5;31;2;2;[0, 4];True;2;10;50;2;0;0,000013800;0,000004200;0,000018000
instancia_5.txt;2;5;31;2;2;[0, 4];True;2;10;50;2;0;0,000009000;0,000003100;0,000012100
instancia_5.txt;3;5;31;2;2;[0, 4];True;2;10;50;2;0;0,000009300;0,000002500;0,000011800
instancia_5.txt;4;5;31;2;2;[0, 4];True;2;10;50;2;0;0,000009300;0,000002500;0,000011800
instancia_5.txt;5;5;31;2;2;[0, 4];True;2;10;50;2;0;0,000006800;0,000002000;0,000008800
instancia_10.txt;1;10;1023;3;3;[6, 4, 5];True;3;30;300;3;0;0,000020100;0,000004000;0,000024100
instancia_10.txt;2;10;1023;3;3;[6, 4, 5];True;3;30;300;3;0;0,000018800;0,000003900;0,000022700
instancia_10.txt;3;10;1023;3;3;[6, 4, 5];True;3;30;300;3;0;0,000016000;0,000002900;0,000018900
instancia_10.txt;4;10;1023;3;3;[6, 4, 5];True;3;30;300;3;0;0,000019600;0,000004000;0,000023600
instancia_10.txt;5;10;1023;3;3;[6, 4, 5];True;3;30;300;3;0;0,000017700;0,000003300;0,000021000
instancia_15.txt;1;15;32767;7;7;[1, 13, 2, 5, 6, 10, 12];True;7;105;1575;7;0;0,000059800;0,000016700;0,000076500
instancia_15.txt;2;15;32767;7;7;[1, 13, 2, 5, 6, 10, 12];True;7;105;1575;7;0;0,000061500;0,000017000;0,000078500
instancia_15.txt;3;15;32767;7;7;[1, 13, 2, 5, 6, 10, 12];True;7;105;1575;7;0;0,000058600;0,000016300;0,000074900
instancia_15.txt;4;15;32767;7;7;[1, 13, 2, 5, 6, 10, 12];True;7;105;1575;7;0;0,000057400;0,000015600;0,000073000
instancia_15.txt;5;15;32767;7;7;[1, 13, 2, 5, 6, 10, 12];True;7;105;1575;7;0;0,000057000;0,000015500;0,000072500
instancia_20.txt;1;20;1048575;4;4;[2, 7, 12, 17];True;4;80;1600;4;0;0,000056500;0,000007000;0,000063500
instancia_20.txt;2;20;1048575;4;4;[2, 7, 12, 17];True;4;80;1600;4;0;0,000056400;0,000006700;0,000063100
instancia_20.txt;3;20;1048575;4;4;[2, 7, 12, 17];True;4;80;1600;4;0;0,000056100;0,000006400;0,000062500
instancia_20.txt;4;20;1048575;4;4;[2, 7, 12, 17];True;4;80;1600;4;0;0,000055700;0,000006400;0,000062100
instancia_20.txt;5;20;1048575;4;4;[2, 7, 12, 17];True;4;80;1600;4;0;0,000055800;0,000006400;0,000062200
instancia_25.txt;1;25;33554431;7;7;[6, 23, 22, 4, 24, 12, 9];True;7;175;4375;7;0;0,000141600;0,000025400;0,000167000
instancia_25.txt;2;25;33554431;7;7;[6, 23, 22, 4, 24, 12, 9];True;7;175;4375;7;0;0,000140600;0,000025000;0,000165600
instancia_25.txt;3;25;33554431;7;7;[6, 23, 22, 4, 24, 12, 9];True;7;175;4375;7;0;0,000140700;0,000025000;0,000165700
instancia_25.txt;4;25;33554431;7;7;[6, 23, 22, 4, 24, 12, 9];True;7;175;4375;7;0;0,000140600;0,000024900;0,000165500
instancia_25.txt;5;25;33554431;7;7;[6, 23, 22, 4, 24, 12, 9];True;7;175;4375;7;0;0,000140600;0,000024900;0,000165500
instancia_30.txt;1;30;1073741823;7;7;[7, 8, 25, 0, 18, 4, 29];True;7;210;6300;7;0;0,000196400;0,000029000;0,000225400
instancia_30.txt;2;30;1073741823;7;7;[7, 8, 25, 0, 18, 4, 29];True;7;210;6300;7;0;0,000195800;0,000029300;0,000225100
instancia_30.txt;3;30;1073741823;7;7;[7, 8, 25, 0, 18, 4, 29];True;7;210;6300;7;0;0,000198100;0,000029200;0,000227300
instancia_30.txt;4;30;1073741823;7;7;[7, 8, 25, 0, 18, 4, 29];True;7;210;6300;7;0;0,000198200;0,000029400;0,000227600
instancia_30.txt;5;30;1073741823;7;7;[7, 8, 25, 0, 18, 4, 29];True;7;210;6300;7;0;0,000198300;0,000029200;0,000227500
instancia_35.txt;1;35;34359738367;9;9;[2, 24, 16, 21, 32, 33, 27, 30, 13];True;9;315;11025;9;0;0,000335200;0,000054900;0,000390100
instancia_35.txt;2;35;34359738367;9;9;[2, 24, 16, 21, 32, 33, 27, 30, 13];True;9;315;11025;9;0;0,000334900;0,000055000;0,000389900
instancia_35.txt;3;35;34359738367;9;9;[2, 24, 16, 21, 32, 33, 27, 30, 13];True;9;315;11025;9;0;0,000322700;0,000053700;0,000376400
instancia_35.txt;4;35;34359738367;9;9;[2, 24, 16, 21, 32, 33, 27, 30, 13];True;9;315;11025;9;0;0,000392900;0,000054700;0,000447600
instancia_35.txt;5;35;34359738367;9;9;[2, 24, 16, 21, 32, 33, 27, 30, 13];True;9;315;11025;9;0;0,000349800;0,000053000;0,000402800
